x,y
-122.732238,37.823812
-122.158194,37.812442
-122.696418,38.19575
-124.024079,41.365403
-123.003282,38.532348
-124.075751,40.877672
-122.572099,37.892862
-124.071278,40.877469
-124.073036,40.877256
-122.23313,37.189312
-122.576292,37.893504
-122.115136,37.112731
-124.068839,40.869381
-124.012003,41.207378
-123.004086,38.532679
-124.052016,40.87817
-122.572674,37.892656
-123.003844,38.434325
-124.101811,41.776661
-122.554168,37.921396
-122.170212,37.8122
-122.06035,37.087358
-123.328962,39.314457
-122.475197,37.578195
-122.2605,37.295416
-124.048134,41.320546
-121.97482,37.372673
-122.063913,36.997651
-124.080487,41.790772
-122.114747,37.111142
-122.553748,37.905295
-122.604912,37.89616
-122.044808,37.108506
-123.927588,40.384937
-122.347358,37.431495
-122.062911,37.037633
-124.030167,40.4414
-122.183128,37.823487
-121.798645,37.396533
-122.668455,38.042122
-122.2605,37.295416
-124.119858,41.048789
-122.581087,37.899825
-123.285643,38.54372
-122.2605,37.295416
-122.938518,38.391939
-124.078557,40.871144
-121.700263,36.998506
-123.00415,38.533405
-122.564749,37.965222
-123.480391,39.079213
-124.028807,41.350206
-122.259547,37.87343
-122.57528,37.894562
-122.259939,37.389831
-122.668312,38.042408
-122.610262,37.899897
-122.648788,37.966713
-122.576034,37.892721
-122.09998,37.182832
-122.063344,36.998638
-122.331086,37.178036
-122.316667,37.467586
-122.400192,38.345447
-124.030036,40.440978
-122.056044,37.031636
-122.669497,38.038702
-122.059678,37.035828
-122.575653,37.898712
-122.143597,37.142742
-124.079222,40.87152
-123.927428,40.321986
-122.164575,37.4146
-123.927178,40.38465
-123.900528,40.290978
-123.899942,40.29028
-122.575005,37.89793
-122.037964,37.002027
-121.799369,37.396605
-122.546997,37.94392
-122.330112,37.213772
-121.911378,36.458813
-122.262871,37.837559
-122.336337,37.203915
-122.008727,37.265917
-121.691147,36.179447
-121.785441,36.245734
-122.058205,37.034908
-124.149888,41.124048
-122.334031,37.211897
-124.194016,40.698993
-122.059564,37.035222
-122.597832,37.94743
-122.333773,37.207667
-122.111491,37.094283
-123.294006,38.549553
-122.656053,38.021453
-122.110375,37.094227
-122.061609,37.002466
-122.066448,37.003567
-122.056999,36.995384
-122.059725,36.99563
-122.141083,37.104203
-122.66945,38.038856
-123.925155,40.347575
-123.923836,40.352019
-123.923111,40.351453
-122.164014,37.787794
-122.008857,37.266011
-121.911383,36.45882
-122.177315,37.816416
-122.94267,38.393816
-122.04897,37.000418
-122.066192,37.004189
-122.568846,37.902898
-121.783177,36.253765
-122.298724,37.390668
-121.903239,36.975314
-122.529243,37.910749
-122.160669,37.444787
-122.656428,38.020104
-122.361581,37.436797
-122.697846,38.139964
-122.357369,37.436989
-122.348983,37.43415
-122.345811,37.433619
-123.733807,39.297685
-122.360917,37.436797
-122.369072,37.437061
-124.100606,41.778506
-122.654275,38.423733
-123.002158,38.543275
-122.3498,37.434097
-122.355697,37.437047
-122.61083,37.939155
-124.080893,40.888524
-122.656201,38.020413
-122.363328,37.436703
-121.860403,37.32245
-121.860519,37.323914
-122.075721,36.987199
-124.110047,41.813431
-122.893549,38.473292
-122.57363,37.893545
-122.574495,37.894333
-122.57509,37.893979
-123.38858,39.22957
-123.733443,39.298354
-122.661095,37.99142
-122.575739,37.892283
-121.860227,37.322316
-121.85898,37.322201
-121.859162,37.321591
-122.062653,37.038383
-122.030572,37.242263
-122.575105,37.893851
-124.082943,41.791267
-122.580912,37.901375
-123.003372,38.532742
-122.573963,37.893559
-122.580665,37.90127
-122.738523,38.170903
-122.477562,37.575764
-122.570756,37.891845
-122.003823,37.017281
-122.731833,38.03122
-122.83407,38.621595
-123.900812,40.939912
-122.38491,37.913909
-122.114722,37.647927
-122.574153,37.893589
-122.572638,37.957572
-124.051994,41.330647
-122.574538,37.955612
-123.8955,40.8271
-122.238475,37.868824
-122.264337,37.948312
-122.048607,37.033119
-123.007119,38.537288
-122.923954,38.397823
-124.152397,41.055103
-122.160264,37.814358
-122.5738,37.89347
-122.537346,38.351526
-122.57497,37.894292
-122.574447,37.893545
-122.069361,37.045492
-123.004019,38.535183
-122.149453,37.796343
-122.146248,37.803802
-122.223167,37.173195
-121.783243,36.252485
-122.620316,38.002726
-122.574444,37.896517
-122.574072,37.893947
-122.320486,37.208369
-122.049857,37.650611
-122.061678,37.030791
-122.574569,37.894327
-122.575159,37.893963
-122.307954,37.210557
-122.305364,37.212765
-121.910438,36.45892
-122.043323,37.207858
-122.571388,37.944908
-122.307954,37.210557
-122.238547,37.871067
-121.749437,36.216606
-124.023516,41.363573
-122.286675,37.868476
-121.911445,36.458808
-121.912637,36.45847
-122.222499,37.172269
-122.269876,37.912618
-122.152647,37.809623
-122.574662,37.894287
-122.178245,37.816488
-121.860718,37.323132
-123.294494,38.920069
-123.988219,40.438693
-122.177003,37.815738
-123.942644,40.349429
-124.049976,41.372633
-121.769263,36.23638
-121.769303,36.23635
-122.57875,37.905483
-122.093247,37.724578
-122.103401,37.981594
-122.002181,37.182653
