x,y
-77.1117,38.8865
-77.4675,43.0949
-76.5241,38.9609
-77.5666,37.4547
-94.4038,30.8964
-70.8803,42.0217
-77.2997,38.8917
-96.0934,41.2414
-77.1651,38.8563
-75.6631,42.8381
-75.4604,40.1639
-86.872,36.1412
-74.0039,40.2242
-77.0665,39.1937
-74.0024,40.4687
-75.5974,40.5751
-73.0281,41.2605
-81.2658,40.8409
-75.1745,40.3107
-78.305,38.2526
-75.7257,39.9215
-92.7597,31.5788
-76.2192,38.9495
-71.7325,42.6282
-76.7586,38.8405
-89.5223,43.0318
-89.4023,43.0288
-73.9974,40.4602
-76.8469,39.1825
-77.3693,38.9445
-82.3517,34.7715
-75.6631,42.8374
-77.0055,39.1744
-86.2441,42.5126
-77.0964,38.7643
-71.0275,41.7651
-70.9621,42.7413
-110.1137,44.9151
-77.0498,39.1372
-94.5232,30.9587
-111.8476,40.6718
-93.6288,42.034
-78.191,38.5741
-74.6591,40.3491
-89.5492,43.0414
-77.2535,38.6151
-75.164,38.2588
-74.242,40.7601
-84.6142,37.1239
-75.6033,39.768
-77.0994,39.0003
-77.9096,34.1032
-77.1831,38.822
-96.6665,40.7343
-77.3252,38.8606
-74.5598,40.5541
-77.3249,38.8605
-77.1535,39.1646
-77.325,38.8605
-74.1693,40.4977
-76.5473,39.5078
-116.9928,46.7395
-77.066,39.1853
-77.1116,38.8865
-76.835,39.4196
-77.0456,38.7705
-76.6245,39.5229
-74.6609,40.3442
-75.724,39.8715
-77.6452,43.1064
-89.4459,43.0571
-74.2277,40.5128
-74.3072,40.7239
-77.325,38.8604
-70.6288,43.8423
-93.7536,41.7973
-76.9769,39.2156
-77.1339,39.1158
-78.8172,36.0792
-83.6013,32.5275
-75.6191,40.2315
-76.6167,39.381
-76.9061,39.078
-74.2856,40.5696
-86.749,36.3438
-70.8338,41.5921
-74.5365,41.337
-73.8493,40.4892
-74.9798,40.1184
-71.1313,42.8389
-81.5492,41.4922
-95.8877,40.8151
-75.6684,39.8813
-77.1599,39.1011
-77.1137,39.1248
-72.3201,42.9445
-94.4098,35.3575
-77.896,34.1915
-121.7167,38.5368
-103.0114,47.7611
-94.9455,31.4948
-118.2939,33.7052
-74.4108,40.406
-77.0852,39.0573
-77.0748,39.1765
-77.0709,39.0504
-77.0368,39.0523
-87.1825,34.1211
-72.7095,41.4021
-74.8938,40.6721
-77.1444,39.063
-77.0347,38.858
-77.1801,43.1529
-75.6516,39.788
-75.1735,40.311
-74.3181,41.0191
-77.1115,39.0632
-111.8413,40.6143
-79.2188,38.0693
-75.6032,39.7679
-77.3143,38.985
-82.1129,41.4911
-70.5945,43.2507
-77.6517,37.6076
-121.5072,37.7492
-89.3404,35.1626
-77.2538,39.1651
-76.419,42.3297
-80.8886,35.4952
-77.0829,39.1123
-77.2438,38.7764
-84.1459,36.097
-89.4419,43.0446
-77.1677,39.0144
-76.7138,39.6694
-111.838,40.6145
-75.5137,40.0173
-77.6725,37.6319
-77.0399,39.0599
-73.9653,44.289
-74.5967,40.648
-75.5538,39.9556
-79.4361,35.1421
-93.6598,42.0268
-72.5967,40.9869
-75.3006,40.2094
-75.2414,39.8316
