x,y
-87.0,32.0
-87.0,34.0
-87.0,33.0
-88.0,31.0
-112.0,33.0
-111.0,32.0
-112.0,35.0
-110.0,32.0
-92.0,35.0
-94.0,36.0
-92.0,35.0
-94.0,35.0
-121.0,39.0
-118.0,34.0
-117.0,33.0
-122.0,38.0
-122.0,37.0
-119.0,36.0
-117.0,34.0
-121.0,37.0
-119.0,34.0
-122.0,41.0
-124.0,41.0
-105.0,40.0
-105.0,39.0
-105.0,40.0
-109.0,39.0
-105.0,41.0
-108.0,37.0
-73.0,42.0
-73.0,41.0
-73.0,41.0
-76.0,39.0
-76.0,40.0
-84.0,30.0
-81.0,29.0
-80.0,26.0
-82.0,28.0
-82.0,27.0
-81.0,30.0
-80.0,27.0
-82.0,30.0
-87.0,30.0
-84.0,34.0
-82.0,32.0
-84.0,33.0
-82.0,34.0
-85.0,32.0
-116.0,44.0
-112.0,44.0
-117.0,48.0
-115.0,43.0
-88.0,42.0
-90.0,40.0
-89.0,41.0
-89.0,39.0
-90.0,42.0
-86.0,40.0
-87.0,42.0
-85.0,41.0
-86.0,39.0
-86.0,38.0
-94.0,42.0
-92.0,42.0
-91.0,42.0
-96.0,42.0
-92.0,43.0
-96.0,39.0
-97.0,38.0
-95.0,39.0
-101.0,38.0
-85.0,38.0
-86.0,38.0
-84.0,38.0
-84.0,39.0
-88.0,37.0
-91.0,30.0
-90.0,30.0
-94.0,30.0
-92.0,32.0
-94.0,32.0
-70.0,44.0
-70.0,44.0
-68.0,45.0
-68.0,47.0
-77.0,39.0
-77.0,39.0
-79.0,40.0
-76.0,38.0
-71.0,42.0
-73.0,42.0
-72.0,42.0
-70.0,42.0
-85.0,43.0
-83.0,42.0
-86.0,43.0
-84.0,44.0
-85.0,47.0
-87.0,47.0
-93.0,45.0
-93.0,45.0
-92.0,47.0
-94.0,46.0
-96.0,47.0
-92.0,44.0
-90.0,32.0
-89.0,31.0
-89.0,35.0
-89.0,30.0
-92.0,39.0
-94.0,39.0
-90.0,39.0
-93.0,37.0
-112.0,47.0
-106.0,46.0
-114.0,47.0
-112.0,48.0
-104.0,48.0
-97.0,41.0
-96.0,41.0
-101.0,41.0
-104.0,42.0
-120.0,39.0
-115.0,36.0
-120.0,40.0
-115.0,41.0
-72.0,43.0
-71.0,43.0
-75.0,40.0
-74.0,41.0
-75.0,39.0
-106.0,35.0
-107.0,35.0
-107.0,33.0
-104.0,33.0
-74.0,41.0
-74.0,43.0
-76.0,43.0
-79.0,43.0
-76.0,42.0
-74.0,44.0
-79.0,36.0
-81.0,35.0
-80.0,36.0
-78.0,34.0
-83.0,35.0
-101.0,47.0
-97.0,47.0
-97.0,48.0
-103.0,48.0
-101.0,46.0
-83.0,40.0
-82.0,41.0
-84.0,39.0
-84.0,42.0
-82.0,40.0
-97.0,35.0
-96.0,36.0
-98.0,35.0
-95.0,36.0
-123.0,45.0
-123.0,46.0
-122.0,42.0
-121.0,44.0
-118.0,46.0
-77.0,40.0
-75.0,40.0
-80.0,40.0
-76.0,41.0
-78.0,40.0
-71.0,42.0
-81.0,34.0
-80.0,33.0
-82.0,35.0
-79.0,34.0
-100.0,44.0
-97.0,44.0
-103.0,44.0
-87.0,36.0
-90.0,35.0
-84.0,36.0
-85.0,35.0
-98.0,30.0
-97.0,33.0
-95.0,30.0
-98.0,29.0
-102.0,32.0
-106.0,32.0
-97.0,26.0
-102.0,36.0
-100.0,29.0
-95.0,33.0
-97.0,32.0
-112.0,41.0
-112.0,40.0
-110.0,39.0
-113.0,37.0
-73.0,44.0
-73.0,45.0
-77.0,38.0
-76.0,37.0
-80.0,37.0
-77.0,39.0
-123.0,47.0
-122.0,48.0
-117.0,48.0
-120.0,47.0
-82.0,38.0
-80.0,40.0
-81.0,38.0
-89.0,43.0
-88.0,43.0
-89.0,45.0
-92.0,47.0
-88.0,45.0
-105.0,41.0
-107.0,43.0
-111.0,43.0
-109.0,45.0
