x,y
69.17,34.53
19.82,41.33
3.04,36.75
-170.7,-14.28
1.52,42.51
13.23,-8.84
-61.85,17.12
-58.38,-34.6
44.51,40.18
149.13,-35.28
16.37,48.21
49.87,40.41
-77.34,25.06
50.58,26.23
90.41,23.71
-59.62,13.1
27.57,53.9
4.35,50.85
-88.77,17.25
2.63,6.5
89.64,27.47
-68.15,-16.5
18.42,43.86
25.91,-24.65
-47.93,-15.78
114.95,4.94
23.32,42.7
-1.52,12.37
29.36,-3.38
104.92,11.56
11.52,3.87
-75.69,45.42
-23.51,14.93
18.56,4.36
15.04,12.11
-70.67,-33.45
116.4,39.9
-74.07,4.71
43.26,-11.7
15.28,-4.27
15.31,-4.32
-83.99,9.93
-4.03,5.32
15.98,45.81
-82.37,23.11
33.38,35.17
14.42,50.08
12.57,55.68
43.15,11.59
-61.39,15.3
-69.9,18.47
-79.9,-2.17
31.25,30.04
-89.2,13.69
8.78,3.75
38.93,15.33
24.75,59.44
38.75,9.02
-51.76,64.17
178.44,-18.14
24.94,60.17
2.35,48.86
9.45,0.39
-16.58,13.45
44.83,41.72
13.41,52.52
-0.19,5.56
23.73,37.98
-61.75,12.05
-90.53,14.64
-13.7,9.54
-15.6,11.86
-58.15,6.8
-72.34,18.54
-87.22,14.08
19.04,47.5
-21.9,64.14
77.21,28.61
106.85,-6.21
51.39,35.69
44.37,33.31
-6.27,53.35
35.22,31.77
12.5,41.9
-76.79,18.11
139.69,35.69
35.93,31.95
71.43,51.17
36.82,-1.29
172.98,1.33
125.75,39.02
126.98,37.57
47.98,29.37
74.59,42.87
102.63,17.97
24.11,56.95
35.5,33.89
27.48,-29.32
-10.8,6.3
13.18,32.9
9.52,47.14
25.28,54.69
6.13,49.61
47.52,-18.91
35.78,-13.97
101.69,3.14
73.51,4.18
-8.0,12.65
14.51,35.9
171.38,7.09
-15.98,18.09
57.5,-20.16
-99.13,19.43
158.15,6.92
28.83,47.01
7.42,43.73
106.91,47.89
19.26,42.44
-6.84,34.02
32.59,-25.97
96.2,19.76
17.08,-22.56
166.92,-0.55
85.32,27.72
4.9,52.37
174.78,-41.29
-86.25,12.15
2.12,13.51
7.49,9.06
10.75,59.91
58.38,23.58
73.05,33.69
134.62,7.5
-79.52,8.98
147.19,-9.44
-57.64,-25.26
-77.04,-12.05
120.98,14.6
21.01,52.23
-9.14,38.74
51.53,25.29
26.1,44.43
37.62,55.76
29.87,-1.94
-62.71,17.3
-61.0,13.91
-61.21,13.16
-171.76,-13.83
12.46,43.94
6.73,0.34
46.68,24.69
-17.44,14.69
20.47,44.79
55.45,-4.62
-13.23,8.48
103.85,1.29
17.11,48.14
14.51,46.06
159.97,-9.43
45.34,2.05
28.19,-25.75
-3.7,40.42
79.86,6.93
32.53,15.6
-55.17,5.84
31.13,-26.32
18.07,59.33
7.45,46.95
36.28,33.51
121.57,25.04
68.77,38.56
35.74,-6.16
100.52,13.76
125.57,-8.56
1.22,6.14
-175.2,-21.21
-61.52,10.65
10.18,36.81
32.87,39.93
58.38,37.95
179.19,-8.52
32.58,0.31
30.52,50.45
54.37,24.45
-0.13,51.51
-77.04,38.9
-56.17,-34.86
69.28,41.31
168.32,-17.73
-66.88,10.49
105.85,21.03
44.21,15.35
28.28,-15.39
31.05,-17.83
