dataset,n,trials,linear_naive_mean_ms,linear_naive_median_ms,linear_naive_stdev_ms,linear_naive_q1_ms,linear_naive_q3_ms,linear_naive_median_attempts,linear_naive_median_sum_attempted_k,linear_naive_median_restarts,linear_naive_median_wasted_edges,linear_naive_median_final_k,linear_naive_median_area_ratio,linear_naive_median_exact_intersection_calls,linear_bucketed_mean_ms,linear_bucketed_median_ms,linear_bucketed_stdev_ms,linear_bucketed_q1_ms,linear_bucketed_q3_ms,linear_bucketed_median_attempts,linear_bucketed_median_sum_attempted_k,linear_bucketed_median_restarts,linear_bucketed_median_wasted_edges,linear_bucketed_median_final_k,linear_bucketed_median_area_ratio,linear_bucketed_median_exact_intersection_calls,geometric_naive_mean_ms,geometric_naive_median_ms,geometric_naive_stdev_ms,geometric_naive_q1_ms,geometric_naive_q3_ms,geometric_naive_median_attempts,geometric_naive_median_sum_attempted_k,geometric_naive_median_restarts,geometric_naive_median_wasted_edges,geometric_naive_median_final_k,geometric_naive_median_area_ratio,geometric_naive_median_exact_intersection_calls,geometric_bucketed_mean_ms,geometric_bucketed_median_ms,geometric_bucketed_stdev_ms,geometric_bucketed_q1_ms,geometric_bucketed_q3_ms,geometric_bucketed_median_attempts,geometric_bucketed_median_sum_attempted_k,geometric_bucketed_median_restarts,geometric_bucketed_median_wasted_edges,geometric_bucketed_median_final_k,geometric_bucketed_median_area_ratio,geometric_bucketed_median_exact_intersection_calls,median_linear_bucketing_speedup,median_geometric_bucketing_speedup,median_geometric_speedup_naive,median_geometric_speedup_bucketed,median_combined_speedup_vs_original,median_linear_exact_call_reduction,median_geometric_exact_call_reduction,geometric_matches_linear_fraction,all_intersection_pairs_identical,all_outputs_valid
coast_redwood,1190,10,17960.30220419634,17954.526333429385,76.30590466121016,17935.731823003152,17993.823530792724,114.0,6783.0,113.0,15007.0,116.0,0.35867554656196216,13627188.0,5273.335908434819,5246.003125561401,76.8846188223557,5235.422083555022,5268.476864497643,114.0,6783.0,113.0,15007.0,116.0,0.35867554656196216,1403250.0,416.48446259787306,402.05774997593835,46.21187764529345,399.7650730598252,406.02474997285753,7.0,381.0,6.0,408.0,192.0,0.4218947897620347,293715.0,120.9369958145544,121.28972902428359,1.5124883184915883,120.47645877464674,121.79363548057154,7.0,381.0,6.0,408.0,192.0,0.4218947897620347,21832.0,3.412449986666303,3.3154036646487888,44.57059298460332,43.51772773607565,147.94487443270162,9.711161945483699,13.453417002565041,0.0,True,True
gray_wolf,1054,10,494.2379707004875,485.60683301184326,28.334913520698134,482.8138327866327,490.3584170679096,23.0,322.0,22.0,1890.0,25.0,0.5279913997545785,292911.0,221.7583668185398,222.16279205167666,1.681374981493455,221.01844774442725,222.98364623566158,23.0,322.0,22.0,1890.0,25.0,0.5279913997545785,42541.0,88.56007090071216,88.70583301177248,0.7776013493874046,87.79546929872595,89.25667728180997,5.0,93.0,4.0,355.0,48.0,0.7295426685829888,44005.0,55.49432929838076,55.2987294504419,0.613894906999214,55.100042052799836,55.75243753264658,5.0,93.0,4.0,355.0,48.0,0.7295426685829888,8281.0,2.187668675847724,1.594379727441572,5.487708319913537,4.003775457436662,8.783012645354006,6.885381161702828,5.313971742543171,0.0,True,True
star_8tips,1000,10,149.72537467256188,164.51295849401504,40.93054610642146,112.81267643789761,177.3682496859692,6.5,37.5,5.5,696.0,8.5,0.4254305050933019,94063.5,57.729399926029146,59.905729023739696,17.830828388504578,46.387604088522494,65.31023926800117,6.5,37.5,5.5,696.0,8.5,0.4254305050933019,2173.5,55.181737698148936,54.96083345497027,14.313054402483116,43.59389597084373,61.434135743184015,3.0,21.0,2.0,171.0,12.0,0.4598546542654472,28895.0,25.577524688560516,26.051687018480152,3.867010772679144,24.24577093916014,28.14304144703783,3.0,21.0,2.0,171.0,12.0,0.4598546542654472,776.5,2.714530300747687,2.1781306038297576,2.4530453605227205,2.0460566345692266,6.056830413143709,41.956930065610095,36.51994833174916,0.0,True,True
star_8tips,5000,10,1318.5595500050113,1343.5046455124393,728.4657481215315,771.6269585071132,1939.4931666902266,13.0,117.0,12.0,2334.0,15.0,0.4539591849033196,748325.0,415.4530917061493,388.15247954335064,226.29495999529135,283.65542701794766,459.8246562818531,13.0,117.0,12.0,2334.0,15.0,0.4539591849033196,6023.5,357.59256671881303,383.8400000240654,98.34796140752218,303.0624689999968,424.7912190039642,4.0,45.0,3.0,459.0,24.0,0.4669188708867345,211253.0,138.44835410127416,120.89231249410659,35.527853156977336,117.61193725396879,172.8742599952966,4.0,45.0,3.0,459.0,24.0,0.4669188708867345,1765.5,2.747383750094958,2.5292139751522758,3.4637777201929643,2.6105055119838396,9.233459481077755,114.65857026940077,116.12026438496162,0.2,True,True
star_8tips,10000,10,3287.242687412072,2518.909666570835,1893.1328064623908,2008.8606765202712,4508.932031545555,16.0,168.0,15.0,3898.0,18.0,0.4695896088765779,1305793.5,1383.850721095223,985.4409584659152,908.3844298066659,715.9107394691091,2021.4119792799465,16.0,168.0,15.0,3898.0,18.0,0.4695896088765779,9483.0,537.6700292923488,524.6324795298278,189.38647251693584,376.7024902335834,591.8782392109279,4.0,45.0,3.0,401.0,24.0,0.4764691827960842,190395.0,261.80079168407246,238.55820792960003,79.91524134402916,196.1661982059013,318.4279582637828,4.0,45.0,3.0,401.0,24.0,0.4764691827960842,1787.5,2.379771734543549,1.9034091933494546,6.10957762231656,4.729408093718625,11.629175082129873,159.2198307986277,115.10614673879734,0.1,True,True
star_8tips,50000,10,5645.119483524468,6082.019979017787,2370.536069848579,3554.6171667810995,6446.354646497639,17.0,187.0,16.0,4454.0,19.0,0.48380169641378235,1870610.5,3252.854158426635,3722.195291542448,1101.6432533204704,2127.0744687644765,3885.7891042425763,17.0,187.0,16.0,4454.0,19.0,0.48380169641378235,11382.0,1729.0593957994133,1792.1037084888667,275.05729221897354,1457.8990315203555,1920.2171562646981,4.0,45.0,3.0,439.0,24.0,0.48719601379813615,471518.0,1094.938308186829,1048.87164599495,178.29988568027426,943.7070414423943,1201.5143122989684,4.0,45.0,3.0,439.0,24.0,0.48719601379813615,2597.0,1.6430774213382695,1.5679559970750685,3.298354924828043,3.0768444274150837,5.28424358148563,147.94542094925978,207.2651720205485,0.0,True,True
unit_disk,1000,10,53.54267089860514,56.99533346341923,18.81016305030371,38.22378104086965,58.76933329273015,4.0,18.0,3.0,218.0,6.0,0.9380436939361922,19729.0,33.1024126149714,29.849083512090147,16.074131708461152,22.04901081859134,32.78073974070139,4.0,18.0,3.0,218.0,6.0,0.9380436939361922,539.5,31.90860409522429,28.907520521897823,10.454102785441124,24.858917226083577,34.1104477411136,2.0,9.0,1.0,80.5,6.0,0.9428376845688264,9012.5,25.189829396549612,21.958604047540575,12.190312293250361,16.9740837009158,27.33923975029029,2.0,9.0,1.0,80.5,6.0,0.9428376845688264,278.0,1.7438980290055603,1.4147434616937042,1.645962402414349,1.214515213992272,2.0832014322751,37.805797446059,32.30094555488256,0.3,True,True
unit_disk,5000,10,238.2249834248796,262.0873330743052,84.15941383675947,166.9020104163792,290.89683378697373,6.0,33.0,5.0,528.5,8.0,0.9770162568068765,107629.0,183.52004570188,148.20404147030786,108.90114731151621,123.90707278973423,196.11713499762118,6.0,33.0,5.0,528.5,8.0,0.9770162568068765,1296.0,143.2975124916993,134.4928125035949,48.67963641813923,100.56453102151863,193.82094792672433,3.0,21.0,2.0,224.5,12.0,0.9854470627999031,42319.0,96.7253667069599,81.64229150861502,31.96349064359212,77.3187397280708,118.29258405487053,3.0,21.0,2.0,224.5,12.0,0.9854470627999031,654.5,1.523388757076303,1.5303900689018328,1.498425762299811,1.6327899325057045,2.254548953179956,67.77501371297497,60.213110877561746,0.0,True,True
unit_disk,10000,10,394.83157901559025,296.52852047001943,161.58350799810893,286.11353103769943,556.7456765566021,6.0,33.0,5.0,444.0,8.0,0.9835285875965655,90178.5,267.9569085361436,214.40218755742535,111.52716358113948,190.08655272773467,329.80738510377705,6.0,33.0,5.0,444.0,8.0,0.9835285875965655,1194.5,257.783224794548,256.86018698615953,56.63140591811094,235.1434889715165,286.85829203459434,3.0,21.0,2.0,137.0,12.0,0.988564629947295,57178.5,175.72354172589257,157.78454154497012,53.00465272406405,153.70315598556772,163.26808379380964,3.0,21.0,2.0,137.0,12.0,0.988564629947295,659.5,1.50352709210908,1.5004349972987043,1.4721555999020612,1.3626384668396518,1.8855639665333639,90.44848737776246,75.99407210229484,0.2,True,True
unit_disk,50000,10,2307.9009624780156,1820.6473959726281,1225.0288442956532,1605.8810732502025,2669.8182812542655,5.5,29.0,4.5,629.0,7.5,0.9911407281870798,466171.0,1573.9496040157974,1449.7660624911077,634.6458907419649,1115.452291443944,1751.5543125628028,5.5,29.0,4.5,629.0,7.5,0.9911407281870798,2240.5,1292.230041581206,1200.4283540300094,439.6464141139782,1006.2112184823491,1336.1797599645797,3.0,21.0,2.0,196.5,12.0,0.993860557358224,249875.0,952.693008503411,888.9306249911897,244.31684626223765,837.0715420460328,969.85175050213,3.0,21.0,2.0,196.5,12.0,0.993860557358224,1380.0,1.4558381308133388,1.3573186913263497,1.7271154418774524,1.6041318526910189,2.225256361614531,188.64740338827073,176.19084638746455,0.3,True,True
